username,post_text,posted_date,retweets,favorites
UBn_mn,"Л.ОЮУН-ЭРДЭНЭ: Б.Баатарт ""Төрийн соёрхолт өгнө, гадаадын шагналд тодорхойлно"" гэж байсныг би уурлаж байж болиулсан‼️‼️

Дипломат харилцаа тогтоосны ойн хүрээнд ""Монгол хаан"" жүжгийг Лондонд тоглосон юм билээ

БҮТЭН ЯРИЛЦЛАГА ҮЗЭХ: https://t.co/Xj5mxUfKcL

@OyunerdeneMN https://t.co/RaRHQk14RE",2026-03-12 07:07:29+00:00,8,14
ganbayarx,"Л.Оюун-Эрдэнэ: Ерөнхийлөгчийн хөлийг үнсэх юу ч биш шүү. Ер нь таллаж хэвтээд, мөлхөж орж ирнэ шүү дээ ‼️ https://t.co/nq4Zl9E5JU",2026-03-12 06:31:12+00:00,8,13
amidral77,"Номингоор хангалттай мөнгө хийлгээ биз дээ, Оюун Эрдэнэ ээ, чи нээрээ хорсол өсөрхөлдөө тачаадаад үклээ, хүүр юм аа.
Go Mongolia с болж аялал хөгжөөгүй ээ, манай залуус бор зүрхээрээ Монголоо сурталчилсан шүү",2026-03-12 11:50:34+00:00,3,13
tegshzy,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ‼️
Д.Амарбаясгалангаас намын дэмжлэг хамгийн их авсан хүн бол Б.Энхбаяр байх шүү‼️ 2027 оны сонгуулийн дараа Б.Энхбаяр У.Хүрэлсүх рүү учир зүггүй https://t.co/BGJGpvSQpO",2026-03-12 06:26:26+00:00,12,12
tegshzy,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжин аа"" гэдэг шиг л нөхөр шүү дээ‼️

Д.Амарбаясгалангаас намын дэмжлэг хамгийн их авсан хүн бол Б.Энхбаяр байх шүү‼️ https://t.co/69cHtPBmSo",2026-03-12 05:19:36+00:00,11,11
Eguur_mn,Видео: Л.Оюун-Эрдэнэ Б.Энхбаяр нар нэгнийхээ тухай юу ярив https://t.co/YNNDcEMuOl,2026-03-12 09:24:09+00:00,9,10
Baagij13310361,"Л.Оюун-Эрдэнэ: Ерөнхийлөгч бид хоёр 2027 оны сонгуулиас болж таарахаа больсон‼️
Бүх л ЗГ Ерөнхийлөгчтэй таарахаа болихоор л ОГЦОРДОГ. Тэр өдөр ЗГ-ын төгсгөл ирдэг‼️ https://t.co/SFtWfQltn0",2026-03-12 07:06:37+00:00,1,10
TenGerTV,"Өчигдөр ерөнхий сайд асан Л.Оюун-Эрдэнэ “Лхагвын тойм” нэвтрүүлэгт оролцох үеэрээ ерөнхийлөгчийн санаачилсан хуулийг парламентын дархлааг унагах эрсдэлтэй гэж ярьсан. Ялангуяа ёс зүй гэх өргөн хүрээтэй, харьцангуй ойлголтоор гишүүдийг эгүүлэн татахаар тусгасан нь сонгогчдын өгсөн https://t.co/RaPyQVqVCk",2026-03-12 13:21:39+00:00,7,9
dukdulguunn,"🟠Л.Оюун-Эрдэнэ: ""Бодь"" группээс Б.Энхбаяр 1,5 сая $, Аюурсайхан 1 сая $ авсан‼️‼️‼️ https://t.co/tWa3C1YoXT",2026-03-12 11:56:50+00:00,7,9
UBn_mn,"Л.Оюун-Эрдэнэ: Зандан дарга шинэ үеийн ТЕРМИНАТОР болж жүжиглээд хэрэггүй‼️

Бүх шийдвэрийг надтай хамт гаргаж ирсэн хүн бол та. Өмнөх үеэ үгүйсгэсэн хэрнээ миний кабинеттай байгаа чинь худлаа харагдаад байгаа шүү‼️

@OyunerdeneMN @Zandanshatar @NominChinbat @Enkhbayar_bat https://t.co/w6XhFNky24",2026-03-12 12:08:20+00:00,10,9
